platform,text,publishedAt,externalId,imageUrls,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | ¡Celebremos el orgullo patrio con música y alegría! Te esperamos este 15 de septiembre a las 23:30 horas en el Zócalo de Puebla para disfrutar del gran concierto de Gloria Trevi en el 216 Aniversario de la Independencia. #FiestasPatriasPuebla #TransformarEnGrande 👩‍🎤✨
Disfrutar en unidad de nuestras tradiciones fortalece la convivencia familiar y la identidad de nuestro estado. Desde el Gobierno de Puebla te invitamos a ser parte de esta noche festiva en un entorno seguro y lleno de entusiasmo.🎊",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | ¡Faltan solo 2 días para vivir el Grito de Independencia! Preparemos la alegría y el fervor patrio para celebrar en familia el 216 Aniversario de la libertad de nuestra nación. #FiestasPatriasPuebla #TransformarEnGrande 2️⃣🎊
Disfrutar en armonía nuestras tradiciones consolida la convivencia social en el estado. En el Gobierno de Puebla trabajamos para garantizar festejos seguros, ordenados y llenos de orgullo para todas y todos los poblanos.🇲🇽⚔️",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla ⚔️ Honramos el heroísmo y la entrega de los Niños Héroes de Chapultepec en defensa de la Patria. Compartimos el decreto por el cual sus restos fueron trasladados a un monumento erigido en su honor, como tributo a su lealtad y valentía.🏰
Desde el Gobierno de Puebla te invitamos a consultar estos documentos, que forman parte de nuestro acervo histórico correspondiente📜
Fondo documental: Publicaciones Periódicas. 
Sección: Diario Oficial. 
Páginas: 1 y 2. 
Fecha: 28 de octubre de 1947.",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | Acompaña el Grito de Independencia este 15 de septiembre a las 22:50 horas en el Zócalo de Puebla. Vive la emoción del 216 Aniversario en comunidad o sigue la transmisión en vivo por SICOM. #FiestasPatriasPuebla #TransformarEnGrande. 🎊
Rendir homenaje a la historia nacional fortalece la unidad de nuestras familias. Desde el Gobierno de Puebla invitamos a toda la ciudadanía a celebrar los valores de libertad, identidad y orgullo que distinguen a nuestro estado.🫶✨",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | Conmemoramos las #FiestasPatriasPuebla rindiendo homenaje a Gertrudis Bocanegra, heroína insurgente que entregó su vida como mensajera y defensora de la libertad de nuestra patria durante la lucha independentista. #TransformarEnGrande 👩⚔️
El valor y la entrega de las mujeres mexicanas son pilares de nuestra historia e identidad nacional. En el Gobierno de Puebla celebramos este 216 Aniversario refrendando los valores de unidad, justicia y bienestar para todas y todos. 🇲🇽🎊",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla ​📜 En el Día del Historiador y la Historiadora, reconocemos a quienes dedican su vida a investigar, interpretar y difundir los acontecimientos que nos dan identidad. Su labor crítica convierte el pasado en conocimiento para el presente. 🏛️🔎
Desde el Gobierno de Puebla colaboramos con las y los historiadores al resguardar, organizar y poner a su alcance el acervo documental de nuestra entidad. Su trabajo en los archivos mantiene viva la memoria y la verdad de nuestra historia. 🤝📜",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla | En estas #FiestasPatriasPuebla recordamos a José María Morelos y Pavón, estratega militar que consolidó el movimiento insurgente y presentó los Sentimientos de la Nación para forjar un México libre y soberano. #TransformarEnGrande 🇲🇽⚔️
Honrar el legado de nuestros héroes fortalece el compromiso con la justicia y la igualdad. Desde el Gobierno de Puebla conmemoramos con profundo orgullo el 216 Aniversario de la Independencia, guiados por los ideales patrios. ✨🫶",,,,,,,,,,,,,,,,,,,
FACEBOOK,"#PorAmorAPuebla 📜 Preservar la memoria comunitaria es preservar nuestra historia
En atención a la invitación del Ayuntamiento de Papalotla, nuestra titular, Jessica Pli Aj, asistió a la Ceremonia de Clausura de los “Talleres para Construir las Memorias Comunitarias en Tlaxcala 2026. Capítulo Papalotla”, a fin de reforzar los lazos de colaboración municipal y la importancia de la organización y difusión del patrimonio documental.
El encuentro reunió al Archivo General de la Nación (AGN), al Presidente Municipal Sergio Lara Muñoz, a la Coordinadora del Centro Cultural Roxana Montiel Tapia y al Cronista Municipal Víctor Montero Morales, quienes sumaron esfuerzos con la ciudadanía en favor de la memoria colectiva.
A través de esta iniciativa se impulsó la recuperación de documentos, testimonios y tradiciones que fortalecen la identidad y el valor histórico de Papalotla.
Celebramos estos espacios de colaboración para compartir conocimientos y asegurar la salvaguarda de la memoria cultural de nuestras comunidades.
🤝 Preservar nuestra memoria es mantener vivo el pasado, fortalecer la identidad y construir un legado para las futuras generaciones.",,,,,,,,,,,,,,,,,,,
FACEBOOK,"🛡️ La prevención nos prepara para actuar mejor.
Por invitación del Voluntariado de la Secretaría de Gobernación, nuestro personal asistió a la Plática de Prevención ante un Sismo, donde se compartieron recomendaciones para saber cómo actuar antes, durante y después de un movimiento sísmico.
Agradecemos al Voluntariado por promover estos espacios de información que fortalecen la cultura de protección y cuidado.
🤝 La prevención es una forma de cuidarnos.",,,,,,,,,,,,,,,,,,,
FACEBOOK,"📊 #PorAmorAPuebla | Fortalecemos nuestra planeación institucional rumbo a 2027
En el marco de las acciones para fortalecer el Proceso de Programación y Presupuestación del Gasto Público para el Ejercicio Fiscal 2027, nuestra titular Jessica Pli Aj encabezó la participación de nuestro equipo en una reunión virtual con el Área de Egresos de la Secretaría de Planeación, Finanzas y Administración.
Esta reunión permitió conocer los Criterios Técnicos y Normativos para la Programación, Presupuestación e Integración de la Iniciativa de Ley de Egresos 2027, con el propósito de aplicarlos correctamente y consolidar los procesos de planeación y gestión presupuestaria.
📌 Refrendamos nuestro compromiso con una administración responsable, eficiente y transparente de los recursos públicos, a fin de impulsar los procesos de planeación que contribuyen al cumplimiento de los objetivos institucionales. 🫶",,,,,,,,,,,,,,,,,,,
